# t(s)	x(cm)	y(cm)
0.000000E0	-7.858693E1	3.639701E1
3.325556E-2	-7.736667E1	3.576852E1
6.655556E-2	-7.617651E1	3.526484E1
9.983333E-2	-7.502563E1	3.477809E1
1.331556E-1	-7.384454E1	3.423173E1
1.664778E-1	-7.261508E1	3.371110E1
1.996889E-1	-7.142044E1	3.319617E1
2.330222E-1	-7.024382E1	3.266105E1
2.663111E-1	-6.908509E1	3.217092E1
2.995556E-1	-6.780508E1	3.163783E1
3.328556E-1	-6.668903E1	3.115677E1
3.661778E-1	-6.553491E1	3.061271E1
3.994333E-1	-6.430544E1	3.009208E1
4.327556E-1	-6.311866E1	2.958054E1
4.660111E-1	-6.194651E1	2.905667E1
4.992889E-1	-6.074171E1	2.856531E1
5.325778E-1	-5.956509E1	2.803019E1
5.659000E-1	-5.837045E1	2.751526E1
5.991444E-1	-5.716456E1	2.700480E1
6.324444E-1	-5.591938E1	2.647740E1
6.657667E-1	-5.482352E1	2.601437E1
6.990111E-1	-5.359744E1	2.548589E1
7.323111E-1	-5.239156E1	2.497543E1
7.656333E-1	-5.118906E1	2.445711E1
7.988889E-1	-5.002369E1	2.391752E1
8.322333E-1	-4.885831E1	2.337792E1
8.655000E-1	-4.769850E1	2.286868E1
8.987889E-1	-4.644329E1	2.229968E1
9.320778E-1	-4.527453E1	2.176795E1
9.653667E-1	-4.411024E1	2.124746E1
9.986556E-1	-4.295273E1	2.071126E1
1.031944E0	-4.175131E1	2.021204E1
1.065244E0	-4.051954E1	1.971839E1
1.098511E0	-3.935417E1	1.917879E1
1.131767E0	-3.808433E1	1.862212E1
1.165100E0	-3.692898E1	1.812413E1
1.198389E0	-3.573434E1	1.760920E1
1.231667E0	-3.448807E1	1.706270E1
1.264956E0	-3.331132E1	1.659275E1
1.298244E0	-3.213470E1	1.605763E1
1.331489E0	-3.091309E1	1.554040E1
1.364822E0	-2.974203E1	1.503563E1
1.398067E0	-2.848113E1	1.450145E1
1.431389E0	-2.730112E1	1.397419E1
1.464678E0	-2.609429E1	1.337945E1
1.497978E0	-2.484802E1	1.283294E1
1.531267E0	-2.372086E1	1.229118E1
